magnitude,depth_km,lat,lng,dist_to_coast_km,central_pressure_hpa,max_wind_knots,wave_intensity,label
7.0,31.0,-12.1,-77.1,15255.919609378425,,,1.0,tsunami
7.0,31.0,-33.0,-71.7,17016.403252338576,,,0.0,tsunami
6.0,31.0,24.0,89.25,5105.705067029542,,,1.5,tsunami
7.0,31.0,-33.88,18.45,14913.758728665589,,,1.5,tsunami
6.0,31.0,36.0,23.0,9589.26935885735,,,4.0,tsunami
5.8,31.0,66.416,12.85,7569.037932847753,,,1.5,tsunami
7.0,40.0,-12.3,-77.3,15255.926328942684,,,0.0,tsunami
7.0,31.0,37.8,21.0,9566.388767237324,,,3.0,tsunami
7.0,31.0,57.0,-152.0,5185.234823434805,,,1.0,tsunami
5.9,31.0,32.7,-117.2,8726.153558976483,,,1.5,tsunami
5.5,31.0,37.5,-122.3,8035.3514537339615,,,-1.0,tsunami
8.5,31.0,10.7,-63.1,14020.815209900053,,,1.5,tsunami
7.0,31.0,-17.9,-149.9,9519.89999411518,,,0.5,tsunami
7.0,31.0,53.0,158.5,2116.523590134875,,,1.5,tsunami
7.0,31.0,54.52,-164.65,4407.397198738748,,,0.5,tsunami
7.0,31.0,7.332999999999999,93.667,5855.484154162242,,,1.5,tsunami
7.0,31.0,0.8,127.4,4392.524739830681,,,0.5,tsunami
8.5,600.0,-7.0,117.0,5613.743398060326,,,2.0,tsunami
7.0,31.0,16.8,-99.9,11200.994591912657,,,1.5,tsunami
6.4,31.0,34.8,138.3,456.0727067286587,,,1.5,tsunami
7.3,31.0,42.5,145.0,578.3793729743916,,,1.0,tsunami
7.0,31.0,20.0,-75.8,12482.17473368225,,,1.5,tsunami
7.0,31.0,58.0,-152.0,5173.939468694431,,,1.5,tsunami
6.0,31.0,14.5,121.0,3294.845641772568,,,0.5,tsunami
7.0,31.0,13.7,-89.8,12184.93855941779,,,1.5,tsunami
7.3,31.0,0.009,125.5,4540.946397341528,,,1.5,tsunami
7.2,31.0,-27.35,-70.35,16860.895061963856,,,2.0,tsunami
6.3,31.0,23.583,68.367,6945.976876087224,,,1.5,tsunami
7.0,31.0,0.8,127.325,4394.955184136818,,,0.5,tsunami
6.4,31.0,32.6,129.9,1187.4693601035237,,,1.5,tsunami
7.0,31.0,-4.0,101.5,6213.670615159257,,,1.5,tsunami
7.0,31.0,0.9,124.9,4469.396904800615,,,0.0,tsunami
7.0,31.0,1.3,121.0,4589.981785137888,,,0.0,tsunami
7.0,31.0,32.5,-115.5,8864.3111715995,,,1.0,tsunami
6.4,31.0,43.3,141.4,560.3317979860113,,,1.0,tsunami
6.4,31.0,44.6,141.5,705.1058383130127,,,0.0,tsunami
7.0,31.0,34.5,137.6,519.1633277773444,,,1.5,tsunami
7.0,31.0,-33.0,-71.4,17042.58687033509,,,2.0,tsunami
7.0,31.0,-39.9,-73.4,17056.664128493867,,,1.5,tsunami
7.0,31.0,-36.6,-73.0,17022.05328254537,,,1.5,tsunami
7.0,31.0,-33.1,-71.7,17020.30234499578,,,0.5,tsunami
7.0,31.0,-17.0,-72.5,15990.123099891478,,,0.5,tsunami
7.0,31.0,-36.7,-73.2,17007.40296177783,,,0.5,tsunami
7.0,31.0,16.8,-99.2,11252.897689176003,,,1.5,tsunami
7.0,31.0,55.0,-161.0,4641.5487802773605,,,2.5,tsunami
7.0,31.0,18.1,-65.1,13179.819007696575,,,1.5,tsunami
7.5,31.0,10.9,-64.1,13956.409330017537,,,1.5,tsunami
8.0,31.0,-19.5,-173.5,7984.587406000601,,,3.0,tsunami
7.5,31.0,-19.0,168.5,6983.941667917869,,,1.0,tsunami
7.0,31.0,-6.1,106.7,6074.212182087445,,,0.0,tsunami
7.4,31.0,38.5,142.0,88.77704407884612,,,2.0,tsunami
6.5,31.0,-1.5,100.0,6097.697843675574,,,1.5,tsunami
6.8,31.0,1.0,97.5,6065.724118984698,,,0.5,tsunami
7.0,70.0,1.0,97.5,6065.724118984698,,,1.5,tsunami
7.0,31.0,-1.25,128.5,4578.129955474389,,,0.0,tsunami
7.0,31.0,-12.1,-77.1,15255.919609378425,,,0.0,tsunami
7.5,31.0,18.52,-73.35,12752.98740052573,,,1.5,tsunami
6.8,31.0,-5.5,130.5,4986.796826804703,,,0.5,tsunami
6.2,31.0,13.33,-87.81,12354.214308885552,,,1.5,tsunami
7.0,31.0,-4.6,129.9,4902.954486661011,,,0.0,tsunami
7.0,31.0,1.0,126.5,4401.3195896829475,,,3.0,tsunami
7.3,31.0,1.0,126.0,4418.75862052204,,,1.5,tsunami
7.0,31.0,26.2,127.5,1844.9759162694093,,,1.5,tsunami
6.5,31.0,-30.0,-71.4,16910.476585298322,,,1.0,tsunami
7.0,31.0,1.35,125.2,4411.052211487415,,,0.0,tsunami
7.0,31.0,1.35,125.2,4411.052211487415,,,1.5,tsunami
7.0,50.0,-8.0,115.5,5784.314743516851,,,2.0,tsunami
7.0,31.0,40.2,29.0,8887.607582572218,,,1.5,tsunami
7.0,31.0,-8.5,116.0,5811.290159427649,,,0.0,tsunami
7.0,31.0,15.91,-85.96,12253.677884865878,,,1.5,tsunami
6.0,31.0,40.75,-124.2,7696.930848360282,,,0.0,tsunami
7.0,31.0,37.8,-122.4,8009.013149475267,,,0.0,tsunami
7.2,31.0,8.5,-83.0,13101.579806121843,,,1.5,tsunami
7.2,31.0,8.5,-83.0,13101.579806121843,,,1.5,tsunami
7.0,31.0,34.4,-119.7,8427.276433359042,,,0.0,tsunami
7.0,31.0,57.0,-152.0,5185.234823434805,,,0.5,tsunami
